Skill ID,Category,Subcategory,Skills,Skill Definition,Skill = Sub Category,Alternate Skill Names,Sl No,Name
Admi_1,Administration,Administrative Support and Clerical Tasks,Administrative Assistant Certification,,FALSE,,1,Admi
Admi_2,Administration,Administrative Support and Clerical Tasks,Administrative Functions,,FALSE,,2,Admi
Admi_3,Administration,Administrative Support and Clerical Tasks,Administrative Services Credential,,FALSE,,3,Admi
Admi_4,Administration,Administrative Support and Clerical Tasks,Administrative Support,,FALSE,,4,Admi
Admi_5,Administration,Administrative Support and Clerical Tasks,Alphanumeric Data Entry,,FALSE,,5,Admi
Admi_6,Administration,Administrative Support and Clerical Tasks,Automated Attendant,,FALSE,,6,Admi
Admi_7,Administration,Administrative Support and Clerical Tasks,Booking (Trades),,FALSE,,7,Admi
Admi_8,Administration,Administrative Support and Clerical Tasks,Bulk Mail,,FALSE,,8,Admi
Admi_9,Administration,Administrative Support and Clerical Tasks,Case File Management,,FALSE,,9,Admi
Admi_10,Administration,Administrative Support and Clerical Tasks,Certified Advanced Social Work Case Management,,FALSE,,10,Admi
Admi_11,Administration,Administrative Support and Clerical Tasks,Certified Mail,,FALSE,,11,Admi
Admi_12,Administration,Administrative Support and Clerical Tasks,Certified Professional Secretary,,FALSE,,12,Admi
Admi_13,Administration,Administrative Support and Clerical Tasks,Checklists,,FALSE,,13,Admi
Admi_14,Administration,Administrative Support and Clerical Tasks,Clerical Works,,FALSE,,14,Admi
Admi_15,Administration,Administrative Support and Clerical Tasks,Copy Typing,,FALSE,,15,Admi
Admi_16,Administration,Administrative Support and Clerical Tasks,Corporate Travel Management,,FALSE,,16,Admi
Admi_17,Administration,Administrative Support and Clerical Tasks,Data Entry,,FALSE,,17,Admi
Admi_18,Administration,Administrative Support and Clerical Tasks,Data Reporting,,FALSE,,18,Admi
Admi_19,Administration,Administrative Support and Clerical Tasks,Document Processor,,FALSE,,19,Admi
Admi_20,Administration,Administrative Support and Clerical Tasks,Email Management,,FALSE,,20,Admi
Admi_21,Administration,Administrative Support and Clerical Tasks,Email Processing,,FALSE,,21,Admi
Admi_22,Administration,Administrative Support and Clerical Tasks,Facsimile Transmission,,FALSE,,22,Admi
Admi_23,Administration,Administrative Support and Clerical Tasks,File Management,,FALSE,,23,Admi
Admi_24,Administration,Administrative Support and Clerical Tasks,Mail Distribution,,FALSE,,24,Admi
